ID	Type	Annotator	LABEL	Text								
22	Joint-Individual	nora	n/a	1: person 2 - " For general education/al purposes, or has she acquired a bar stool dipped in cholera?"								
23	Joint-Individual	nora	n/a	2: person 1 - Cholera is water-borne. You’re mocking me.								
24	Joint-Individual	nora	n/a	3: person 2 - " Yes, I am."								
25	Joint-Individual	nora	n/a	4: person 1 - Penny has dragged a chair in off the street whose unknown proven/ance jeopardizes the health and welfare of every resident in our building.								
26	Joint-Individual	nora	n/a	0: person 1 - " Mm. Well, I think more about if I’d have any regrets."								
27	Joint-Individual	nora	n/a	1: person 2 - What would you regret?								
28	Joint-Individual	nora	n/a	2: person 1 - " Mm, you know, that I didn’t travel more, take more risks, learn another language."								
29	Joint-Individual	nora	n/a	3: person 2 - You know Klingon.								
30	Joint-Individual	nora	agreement	4: person 1 - That’s true.								
31	Joint-Individual	nora	n/a	0: person 1 - I may be moving out soon. I think I found a place to live.								
32	Joint-Individual	nora	approbation	1: person 2 - " Oh, I’m sorry to hear that."								
33	Joint-Individual	nora	n/a	2: person 1 - Really? You kept sending me apartment listings.								
34	Joint-Individual	nora	agreement	3: person 2 - " Um, well, I, yeah, you got me."								
35	Joint-Individual	nora	n/a	4: person 3 - Where are you moving?								
36	Joint-Individual	nora	n/a	0: Scene - Penny’s apartment.								
37	Joint-Individual	nora	n/a	1: person 1 - You ready to go?								
38	Joint-Individual	nora	n/a	2: person 2 - " Yep. Hey, and maybe this time you don’t try and talk sports with the guys."								
39	Joint-Individual	nora	n/a	3: person 1 - Some sports bar. It’s like they never even heard of Quidditch. Do we really have to go?								
40	Joint-Individual	nora	n/a	4: person 2 - " Oh, come on. Every time we’re about to hang out with my friends, you don’t want to. It’s like, It’s too loud, or the bathroom’s too dirty, or they put a chicken wing in my ear. I mean…"								
41	Joint-Individual	nora	n/a	0: person 1 - " Well, you know, I’ve always been a fan of a story told by Attar of Nishapur, about a king who assembled a group of wise men to create a ring that would make him happy when he was sad. And that ring was inscribed with the phrase, this too shall pass."								
42	Joint-Individual	nora	n/a	1: person 2 - " Hey, Cooper. I heard you dwunk-dialed Stephen Hawking last night? Classic."								
43	Joint-Individual	nora	n/a	2: person 3 - " Get out of here, Barry."								
44	Joint-Individual	nora	agreement	3: person 2 - " Whatever you say, Cwogziwwa."								
45	Joint-Individual	nora	approbation	4: person 1 - Clogzilla. That’s pretty funny. I don’t think that’s gonn/a pass.								
46	Joint-Individual	nora	n/a	0: person 1 - " Alright, alright, well, just, sit down, yes, sit down, now close your eyes."								
47	Joint-Individual	nora	n/a	1: person 2 - Why?								
48	Joint-Individual	nora	n/a	2: person 1 - Just do it.								
49	Joint-Individual	nora	agreement	3: person 2 - Okay.								
50	Joint-Individual	nora	n/a	4: person 1 - Now try to increase your alpha-wave activity.								
51	Joint-Individual	nora	n/a	0: person 1 - " Oh, and I thought our days of pretending to be with women who don’t exist were over."								
52	Joint-Individual	nora	n/a	1: person 2 - " Gentlemen, I am one step away from securing a huge guest for my convention."								
53	Joint-Individual	nora	n/a	2: person 3 - Does that step include chloroform and a roll of duct tape?								
54	Joint-Individual	nora	tact	3: person 2 - " I don’t think that will be necessary for Mr. James Earl Jones. You heard me. The voice of Darth Vader, the Lion King’s dad, and FYI, the guy who says, This is CNN. Which also sounds like Darth Vader."								
55	Joint-Individual	nora	n/a	4: person 4 - How are you gonn/a get James Earl Jones?								
56	Joint-Individual	nora	approbation	0: person 1 - " Yes, you were very n/atural in front of the camera, and I found your suggestions extremely helpful."								
57	Joint-Individual	nora	approbation	1: person 2 - " Aw, sweetie, you just made my day."								
58	Joint-Individual	nora	agreement	2: person 1 - Okay.								
59	Joint-Individual	nora	tact	3: person 2 - " Hey, my acting class is putting on a play Friday night. I could put you and Amy on the guest list."								
60	Joint-Individual	nora	n/a	4: person 1 - " Oh, that sounds terrible. Why would I want to do that?"								
61	Joint-Individual	nora	n/a	0: person 1 - I don’t know. Kryptonian mustard.								
62	Joint-Individual	nora	tact	1: person 2 - I think we can safely assume that all Kryptonian condiments were destroyed when the planet Krypton exploded.								
63	Joint-Individual	nora	n/a	2: person 3 - " Or it turned into mustard Kryptonite, the only way to destroy a rogue Kryptonian hotdog threatening Earth."								
64	Joint-Individual	nora	n/a	3: person 4 - " Raj, please, let’s stay serious here. Superman’s body is Kryptonian, therefore his sweat is Kryptonian."								
65	Joint-Individual	nora	n/a	4: person 1 - " Yeah, what about Kryptonian pit stains?"								
66	Joint-Individual	nora	tact	0: person 1 - " Sorry, sorry, sorry, sorry, sorry."								
67	Joint-Individual	nora	n/a	1: person 2 - " In order to live long enough to fuse my consciousness with cybernetics, I need to change my diet."								
68	Joint-Individual	nora	n/a	2: person 1 - " Wait. Cybernetics is robot stuff, right?"								
69	Joint-Individual	nora	n/a	3: person 2 - Correct.								
70	Joint-Individual	nora	n/a	4: person 1 - So you want to turn yourself into some sort of robot?								
71	Joint-Individual	nora	n/a	0: person 1 - Here.								
72	Joint-Individual	nora	n/a	1: person 2 - " She’s here, the baby’s here."								
73	Joint-Individual	nora	n/a	2: person 1 - Oh!								
74	Joint-Individual	nora	sympathy	3: person 3 - Congratulations.								
75	Joint-Individual	nora	n/a	4: person 4 - How’s Bern/adette?								
76	Joint-Individual	nora	n/a	0: Scene - " The same, shortly after, demonstrating the quantum gyroscope. "								
77	Joint-Individual	nora	n/a	1: person 1 - " And because of the quantum vortices, this can run perpetually?"								
78	Joint-Individual	nora	approbation	2: person 2 - " Exactly. Yeah, you have a good grasp of the physics."								
79	Joint-Individual	nora	n/a	3: person 1 - " Well, I’m a scientist by training."								
80	Joint-Individual	nora	n/a	4: person 3 - Really? You’re a physicist?								
81	Joint-Individual	nora	n/a	0: person 1 - Sounds like your neighbour’s home.								
82	Joint-Individual	nora	tact	1: person 2 - Excuse me.								
83	Joint-Individual	nora	n/a	2: person 3 - Don’t forget the mail you took accidentally on purpose so you’d have an excuse to talk to her.								
84	Joint-Individual	nora	agreement	3: person 2 - " Oh, right, right right right right."								
85	Joint-Individual	nora	approbation	4: person 1 - " Stealing sn/ail mail, very old school, I like it. "								
86	Joint-Individual	nora	agreement	0: person 1 - Yeah.								
87	Joint-Individual	nora	n/a	1: person 2 - I don’t. I have a hole in my belly button that may or may not have been a piercing.								
88	Joint-Individual	nora	approbation	2: person 1 - That’s cool.								
89	Joint-Individual	nora	n/a	3: person 2 - " It’s a piercing. So, uh, how many tattoos?"								
90	Joint-Individual	nora	n/a	4: person 1 - " One on my shoulder, one not on my shoulder and one really not on my shoulder."								
91	Joint-Individual	nora	n/a	0: person 1 - Then what were you doing there?								
92	Joint-Individual	nora	agreement	1: person 2 - I lied. I love them. I only said that so you’d go out with me.								
93	Joint-Individual	nora	tact	2: person 1 - " Oh, you don’t want to do that. I’m kind of broken."								
94	Joint-Individual	nora	approbation	3: person 2 - " That’s great. I’m broken, too."								
95	Joint-Individual	nora	approbation	4: person 1 - " Oh, no, you’re not."								
96	Joint-Individual	nora	n/a	0: person 1 - " Yeah. I was at a science-fiction convention, and I saw a woman dressed as your half-ape character."								
97	Joint-Individual	nora	n/a	1: person 2 - " Oh, if she was with an Indian guy dressed like a ban/an/a, that was just my friends, Howard and Raj."								
98	Joint-Individual	nora	n/a	2: person 1 - " All right, it’s time for a very special guest caller, a friend of mine, who you probably know as the director of such movies as Clerks, or from podcasts and books where he often reminds you that he’s the guy who directed Clerks. Hello, Kevin Smith."								
99	Joint-Individual	nora	n/a	3: person 3 - " Hey, man, yo, is everything okay, Wil? ‘Cause it’s been, like, two minutes and you haven’t even brought up Stand By Me."								
100	Joint-Individual	nora	approbation	4: person 4 - " Hey, Kevin. It’s really exciting to talk to you."								
445	Joint-Individual	huanyu	agreement	0: person 1 - " Yeah. Israeli Krav Maga. Lots of fun. Basically, a hundred different ways to rip a guy’s nuts off."								
446	Joint-Individual	huanyu	n/a	1: person 2 - Wow. Wouldn’t think there’d be that many.								
447	Joint-Individual	huanyu	n/a	2: person 1 - Number 42!								
448	Joint-Individual	huanyu	n/a	3: person 2 - Whoa!								
449	Joint-Individual	huanyu	n/a	4: person 3 - Isn’t she a pip?								
450	Joint-Individual	huanyu	n/a	0: person 1 - We’re going to Disney World and ride the Matterhorn?								
451	Joint-Individual	huanyu	n/a	1: person 2 - No.								
452	Joint-Individual	huanyu	tact	2: person 1 - " Okay, sweetie, this started out fun, but I’m over it."								
453	Joint-Individual	huanyu	n/a	3: person 2 - We’re going to Switzerland to see the CERN supercollider! And ski. We’ll also go skiing.								
454	Joint-Individual	huanyu	n/a	4: person 1 - We’re going skiing in Switzerland?!								
455	Joint-Individual	huanyu	n/a	0: person 1 - " Oh, no, no, no, not just a blanket. See, it has sleeves. Yeah! So, you can, you know, be all snoodled up while you do your science stuff."								
456	Joint-Individual	huanyu	approbation	1: person 2 - " Oh, wow, cool."								
457	Joint-Individual	huanyu	n/a	2: person 1 - " Oh, I’m gonn/a miss you. (She hugs him for a long time) See you later."								
458	Joint-Individual	huanyu	n/a	3: person 2 - Bye.								
459	Joint-Individual	huanyu	n/a	4: person 3 - I told you no. Why don’t you believe me?								
460	Joint-Individual	huanyu	n/a	0: person 1 - I possess the Dn/a of Leon/ard Nimoy?!								
461	Joint-Individual	huanyu	n/a	1: person 2 - " Well, yeah, yeah, I guess. But look, he signed it."								
462	Joint-Individual	huanyu	n/a	2: person 1 - Do you realize what this means? All I need is a healthy ovum and I can grow my own Leon/ard Nimoy!								
463	Joint-Individual	huanyu	n/a	3: person 2 - " Okay, all I’m giving you is the n/apkin, Sheldon."								
464	Joint-Individual	huanyu	n/a	4: person 1 - Be right back.								
465	Joint-Individual	huanyu	n/a	0: person 1 - I was hoping she might listen to you about the dangers of owning unhygienic furniture.								
466	Joint-Individual	huanyu	n/a	1: person 2 - " For general education/al purposes, or has she acquired a bar stool dipped in cholera?"								
467	Joint-Individual	huanyu	n/a	2: person 1 - Cholera is water-borne. You’re mocking me.								
468	Joint-Individual	huanyu	agreement	3: person 2 - " Yes, I am."								
469	Joint-Individual	huanyu	n/a	4: person 1 - Penny has dragged a chair in off the street whose unknown proven/ance jeopardizes the health and welfare of every resident in our building.								
470	Joint-Individual	huanyu	n/a	0: person 1 - " Mm. Well, I think more about if I’d have any regrets."								
471	Joint-Individual	huanyu	n/a	1: person 2 - What would you regret?								
472	Joint-Individual	huanyu	n/a	2: person 1 - " Mm, you know, that I didn’t travel more, take more risks, learn another language."								
473	Joint-Individual	huanyu	n/a	3: person 2 - You know Klingon.								
474	Joint-Individual	huanyu	agreement	4: person 1 - That’s true.								
475	Joint-Individual	huanyu	n/a	0: person 1 - I may be moving out soon. I think I found a place to live.								
476	Joint-Individual	huanyu	sympathy	1: person 2 - " Oh, I’m sorry to hear that."								
477	Joint-Individual	huanyu	n/a	2: person 1 - Really? You kept sending me apartment listings.								
478	Joint-Individual	huanyu	agreement	3: person 2 - " Um, well, I, yeah, you got me."								
479	Joint-Individual	huanyu	n/a	4: person 3 - Where are you moving?								
480	Joint-Individual	huanyu	n/a	0: Scene - Penny’s apartment.								
481	Joint-Individual	huanyu	n/a	1: person 1 - You ready to go?								
482	Joint-Individual	huanyu	n/a	2: person 2 - " Yep. Hey, and maybe this time you don’t try and talk sports with the guys."								
483	Joint-Individual	huanyu	n/a	3: person 1 - Some sports bar. It’s like they never even heard of Quidditch. Do we really have to go?								
484	Joint-Individual	huanyu	n/a	4: person 2 - " Oh, come on. Every time we’re about to hang out with my friends, you don’t want to. It’s like, It’s too loud, or the bathroom’s too dirty, or they put a chicken wing in my ear. I mean…"								
485	Joint-Individual	huanyu	n/a	0: person 1 - " Well, you know, I’ve always been a fan of a story told by Attar of Nishapur, about a king who assembled a group of wise men to create a ring that would make him happy when he was sad. And that ring was inscribed with the phrase, this too shall pass."								
486	Joint-Individual	huanyu	n/a	1: person 2 - " Hey, Cooper. I heard you dwunk-dialed Stephen Hawking last night? Classic."								
487	Joint-Individual	huanyu	n/a	2: person 3 - " Get out of here, Barry."								
488	Joint-Individual	huanyu	n/a	3: person 2 - " Whatever you say, Cwogziwwa."								
489	Joint-Individual	huanyu	n/a	4: person 1 - Clogzilla. That’s pretty funny. I don’t think that’s gonn/a pass.								
490	Joint-Individual	huanyu	n/a	0: person 1 - " Alright, alright, well, just, sit down, yes, sit down, now close your eyes."								
491	Joint-Individual	huanyu	n/a	1: person 2 - Why?								
492	Joint-Individual	huanyu	n/a	2: person 1 - Just do it.								
493	Joint-Individual	huanyu	n/a	3: person 2 - Okay.								
494	Joint-Individual	huanyu	n/a	4: person 1 - Now try to increase your alpha-wave activity.								
495	Joint-Individual	huanyu	n/a	0: person 1 - " Oh, and I thought our days of pretending to be with women who don’t exist were over."								
496	Joint-Individual	huanyu	n/a	1: person 2 - " Gentlemen, I am one step away from securing a huge guest for my convention."								
497	Joint-Individual	huanyu	n/a	2: person 3 - Does that step include chloroform and a roll of duct tape?								
498	Joint-Individual	huanyu	n/a	3: person 2 - " I don’t think that will be necessary for Mr. James Earl Jones. You heard me. The voice of Darth Vader, the Lion King’s dad, and FYI, the guy who says, This is CNN. Which also sounds like Darth Vader."								
499	Joint-Individual	huanyu	n/a	4: person 4 - How are you gonn/a get James Earl Jones?								
500	Joint-Individual	huanyu	approbation	0: person 1 - " Yes, you were very n/atural in front of the camera, and I found your suggestions extremely helpful."								
501	Joint-Individual	huanyu	sympathy	1: person 2 - " Aw, sweetie, you just made my day."								
502	Joint-Individual	huanyu	n/a	2: person 1 - Okay.								
503	Joint-Individual	huanyu	n/a	3: person 2 - " Hey, my acting class is putting on a play Friday night. I could put you and Amy on the guest list."								
504	Joint-Individual	huanyu	n/a	4: person 1 - " Oh, that sounds terrible. Why would I want to do that?"								
505	Joint-Individual	huanyu	n/a	0: person 1 - I don’t know. Kryptonian mustard.								
506	Joint-Individual	huanyu	n/a	1: person 2 - I think we can safely assume that all Kryptonian condiments were destroyed when the planet Krypton exploded.								
507	Joint-Individual	huanyu	n/a	2: person 3 - " Or it turned into mustard Kryptonite, the only way to destroy a rogue Kryptonian hotdog threatening Earth."								
508	Joint-Individual	huanyu	n/a	3: person 4 - " Raj, please, let’s stay serious here. Superman’s body is Kryptonian, therefore his sweat is Kryptonian."								
509	Joint-Individual	huanyu	n/a	4: person 1 - " Yeah, what about Kryptonian pit stains?"								
510	Joint-Individual	huanyu	n/a	0: person 1 - " Sorry, sorry, sorry, sorry, sorry."								
511	Joint-Individual	huanyu	n/a	1: person 2 - " In order to live long enough to fuse my consciousness with cybernetics, I need to change my diet."								
512	Joint-Individual	huanyu	n/a	2: person 1 - " Wait. Cybernetics is robot stuff, right?"								
513	Joint-Individual	huanyu	n/a	3: person 2 - Correct.								
514	Joint-Individual	huanyu	n/a	4: person 1 - So you want to turn yourself into some sort of robot?								
515	Joint-Individual	huanyu	n/a	0: person 1 - Here.								
516	Joint-Individual	huanyu	n/a	1: person 2 - " She’s here, the baby’s here."								
517	Joint-Individual	huanyu	sympathy	2: person 1 - Oh!								
518	Joint-Individual	huanyu	sympathy	3: person 3 - Congratulations.								
519	Joint-Individual	huanyu	n/a	4: person 4 - How’s Bern/adette?								
520	Joint-Individual	huanyu	n/a	0: Scene - " The same, shortly after, demonstrating the quantum gyroscope. "								
521	Joint-Individual	huanyu	n/a	1: person 1 - " And because of the quantum vortices, this can run perpetually?"								
522	Joint-Individual	huanyu	approbation	2: person 2 - " Exactly. Yeah, you have a good grasp of the physics."								
523	Joint-Individual	huanyu	n/a	3: person 1 - " Well, I’m a scientist by training."								
524	Joint-Individual	huanyu	n/a	4: person 3 - Really? You’re a physicist?								
525	Joint-Individual	huanyu	n/a	0: person 1 - Sounds like your neighbour’s home.								
526	Joint-Individual	yuchien	n/a	1: person 2 - Excuse me.								
527	Joint-Individual	yuchien	n/a	2: person 3 - Don’t forget the mail you took accidentally on purpose so you’d have an excuse to talk to her.								
528	Joint-Individual	yuchien	n/a	3: person 2 - " Oh, right, right right right right."								
529	Joint-Individual	yuchien	approbation	4: person 1 - " Stealing sn/ail mail, very old school, I like it. "								
530	Joint-Individual	yuchien	n/a	0: person 1 - Yeah.								
531	Joint-Individual	yuchien	n/a	1: person 2 - I don’t. I have a hole in my belly button that may or may not have been a piercing.								
532	Joint-Individual	yuchien	approbation	2: person 1 - That’s cool.								
533	Joint-Individual	yuchien	n/a	3: person 2 - " It’s a piercing. So, uh, how many tattoos?"								
534	Joint-Individual	yuchien	n/a	4: person 1 - " One on my shoulder, one not on my shoulder and one really not on my shoulder."								
535	Joint-Individual	yuchien	n/a	0: person 1 - Then what were you doing there?								
536	Joint-Individual	yuchien	n/a	1: person 2 - I lied. I love them. I only said that so you’d go out with me.								
537	Joint-Individual	yuchien	n/a	2: person 1 - " Oh, you don’t want to do that. I’m kind of broken."								
538	Joint-Individual	yuchien	n/a	3: person 2 - " That’s great. I’m broken, too."								
539	Joint-Individual	yuchien	n/a	4: person 1 - " Oh, no, you’re not."								
540	Joint-Individual	yuchien	n/a	0: person 1 - " Yeah. I was at a science-fiction convention, and I saw a woman dressed as your half-ape character."								
541	Joint-Individual	yuchien	n/a	1: person 2 - " Oh, if she was with an Indian guy dressed like a ban/an/a, that was just my friends, Howard and Raj."								
542	Joint-Individual	yuchien	n/a	2: person 1 - " All right, it’s time for a very special guest caller, a friend of mine, who you probably know as the director of such movies as Clerks, or from podcasts and books where he often reminds you that he’s the guy who directed Clerks. Hello, Kevin Smith."								
543	Joint-Individual	yuchien	n/a	3: person 3 - " Hey, man, yo, is everything okay, Wil? ‘Cause it’s been, like, two minutes and you haven’t even brought up Stand By Me."								
544	Joint-Individual	yuchien	sympathy	4: person 4 - " Hey, Kevin. It’s really exciting to talk to you."								
545	Joint-Individual	yuchien	n/a	4: person 1 - Be right back.								
546	Joint-Individual	yuchien	n/a	0: person 1 - I was hoping she might listen to you about the dangers of owning unhygienic furniture.								
547	Joint-Individual	yuchien	n/a	1: person 2 - " For general education/al purposes, or has she acquired a bar stool dipped in cholera?"								
548	Joint-Individual	yuchien	n/a	2: person 1 - Cholera is water-borne. You’re mocking me.								
549	Joint-Individual	yuchien	n/a	3: person 2 - " Yes, I am."								
550	Joint-Individual	yuchien	n/a	4: person 1 - Penny has dragged a chair in off the street whose unknown proven/ance jeopardizes the health and welfare of every resident in our building.								
551	Joint-Individual	yuchien	n/a	0: person 1 - " Mm. Well, I think more about if I’d have any regrets."								
552	Joint-Individual	yuchien	n/a	1: person 2 - What would you regret?								
553	Joint-Individual	yuchien	n/a	2: person 1 - " Mm, you know, that I didn’t travel more, take more risks, learn another language."								
554	Joint-Individual	yuchien	n/a	3: person 2 - You know Klingon.								
555	Joint-Individual	yuchien	agreement	4: person 1 - That’s true.								
556	Joint-Individual	yuchien	n/a	0: person 1 - I may be moving out soon. I think I found a place to live.								
557	Joint-Individual	yuchien	sympathy	1: person 2 - " Oh, I’m sorry to hear that."								
558	Joint-Individual	yuchien	n/a	2: person 1 - Really? You kept sending me apartment listings.								
559	Joint-Individual	yuchien	n/a	3: person 2 - " Um, well, I, yeah, you got me."								
560	Joint-Individual	yuchien	n/a	4: person 3 - Where are you moving?								
561	Joint-Individual	yuchien	n/a	0: Scene - Penny’s apartment.								
562	Joint-Individual	yuchien	tact	1: person 1 - You ready to go?								
563	Joint-Individual	yuchien	n/a	2: person 2 - " Yep. Hey, and maybe this time you don’t try and talk sports with the guys."								
564	Joint-Individual	yuchien	n/a	3: person 1 - Some sports bar. It’s like they never even heard of Quidditch. Do we really have to go?								
565	Joint-Individual	yuchien	n/a	4: person 2 - " Oh, come on. Every time we’re about to hang out with my friends, you don’t want to. It’s like, It’s too loud, or the bathroom’s too dirty, or they put a chicken wing in my ear. I mean…"								
566	Joint-Individual	yuchien	n/a	0: person 1 - " Well, you know, I’ve always been a fan of a story told by Attar of Nishapur, about a king who assembled a group of wise men to create a ring that would make him happy when he was sad. And that ring was inscribed with the phrase, this too shall pass."								
567	Joint-Individual	yuchien	n/a	1: person 2 - " Hey, Cooper. I heard you dwunk-dialed Stephen Hawking last night? Classic."								
568	Joint-Individual	yuchien	n/a	2: person 3 - " Get out of here, Barry."								
569	Joint-Individual	yuchien	n/a	3: person 2 - " Whatever you say, Cwogziwwa."								
570	Joint-Individual	yuchien	approbation	4: person 1 - Clogzilla. That’s pretty funny. I don’t think that’s gonn/a pass.								
571	Joint-Individual	yuchien	n/a	0: person 1 - " Alright, alright, well, just, sit down, yes, sit down, now close your eyes."								
572	Joint-Individual	yuchien	n/a	1: person 2 - Why?								
573	Joint-Individual	yuchien	n/a	2: person 1 - Just do it.								
574	Joint-Individual	yuchien	n/a	3: person 2 - Okay.								
575	Joint-Individual	yuchien	n/a	4: person 1 - Now try to increase your alpha-wave activity.								
576	Joint-Individual	yuchien	n/a	0: person 1 - " Oh, and I thought our days of pretending to be with women who don’t exist were over."								
577	Joint-Individual	yuchien	n/a	1: person 2 - " Gentlemen, I am one step away from securing a huge guest for my convention."								
578	Joint-Individual	yuchien	n/a	2: person 3 - Does that step include chloroform and a roll of duct tape?								
579	Joint-Individual	yuchien	n/a	3: person 2 - " I don’t think that will be necessary for Mr. James Earl Jones. You heard me. The voice of Darth Vader, the Lion King’s dad, and FYI, the guy who says, This is CNN. Which also sounds like Darth Vader."								
580	Joint-Individual	yuchien	n/a	4: person 4 - How are you gonn/a get James Earl Jones?								
581	Joint-Individual	yuchien	approbation	0: person 1 - " Yes, you were very n/atural in front of the camera, and I found your suggestions extremely helpful."								
582	Joint-Individual	yuchien	sympathy	1: person 2 - " Aw, sweetie, you just made my day."								
583	Joint-Individual	yuchien	n/a	2: person 1 - Okay.								
584	Joint-Individual	yuchien	n/a	3: person 2 - " Hey, my acting class is putting on a play Friday night. I could put you and Amy on the guest list."								
585	Joint-Individual	yuchien	n/a	4: person 1 - " Oh, that sounds terrible. Why would I want to do that?"								
586	Joint-Individual	yuchien	n/a	0: person 1 - I don’t know. Kryptonian mustard.								
587	Joint-Individual	yuchien	n/a	1: person 2 - I think we can safely assume that all Kryptonian condiments were destroyed when the planet Krypton exploded.								
588	Joint-Individual	yuchien	tact	2: person 3 - " Or it turned into mustard Kryptonite, the only way to destroy a rogue Kryptonian hotdog threatening Earth."								
589	Joint-Individual	yuchien	n/a	3: person 4 - " Raj, please, let’s stay serious here. Superman’s body is Kryptonian, therefore his sweat is Kryptonian."								
590	Joint-Individual	yuchien	n/a	4: person 1 - " Yeah, what about Kryptonian pit stains?"								
591	Joint-Individual	yuchien	tact	0: person 1 - " Sorry, sorry, sorry, sorry, sorry."								
592	Joint-Individual	yuchien	n/a	1: person 2 - " In order to live long enough to fuse my consciousness with cybernetics, I need to change my diet."								
593	Joint-Individual	yuchien	n/a	2: person 1 - " Wait. Cybernetics is robot stuff, right?"								
594	Joint-Individual	yuchien	n/a	3: person 2 - Correct.								
595	Joint-Individual	yuchien	n/a	4: person 1 - So you want to turn yourself into some sort of robot?								
596	Joint-Individual	yuchien	n/a	0: person 1 - Here.								
597	Joint-Individual	yuchien	n/a	1: person 2 - " She’s here, the baby’s here."								
598	Joint-Individual	yuchien	n/a	2: person 1 - Oh!								
599	Joint-Individual	yuchien	sympathy	3: person 3 - Congratulations.								
600	Joint-Individual	yuchien	n/a	4: person 4 - How’s Bern/adette?								
601	Joint-Individual	yuchien	n/a	0: Scene - " The same, shortly after, demonstrating the quantum gyroscope. "								
602	Joint-Individual	yuchien	n/a	1: person 1 - " And because of the quantum vortices, this can run perpetually?"								
603	Joint-Individual	yuchien	approbation	2: person 2 - " Exactly. Yeah, you have a good grasp of the physics."								
604	Joint-Individual	yuchien	n/a	3: person 1 - " Well, I’m a scientist by training."								
605	Joint-Individual	yuchien	n/a	4: person 3 - Really? You’re a physicist?								
606	Joint-Individual	yuchien	n/a	0: person 1 - Sounds like your neighbour’s home.								
607	Joint-Individual	yuchien	n/a	1: person 2 - Excuse me.								
608	Joint-Individual	yuchien	n/a	2: person 3 - Don’t forget the mail you took accidentally on purpose so you’d have an excuse to talk to her.								
609	Joint-Individual	yuchien	n/a	3: person 2 - " Oh, right, right right right right."								
610	Joint-Individual	yuchien	n/a	4: person 1 - " Stealing sn/ail mail, very old school, I like it. "								
611	Joint-Individual	yuchien	n/a	0: person 1 - Yeah.								
612	Joint-Individual	yuchien	n/a	1: person 2 - I don’t. I have a hole in my belly button that may or may not have been a piercing.								
613	Joint-Individual	yuchien	approbation	2: person 1 - That’s cool.								
614	Joint-Individual	yuchien	n/a	3: person 2 - " It’s a piercing. So, uh, how many tattoos?"								
615	Joint-Individual	yuchien	n/a	4: person 1 - " One on my shoulder, one not on my shoulder and one really not on my shoulder."								
616	Joint-Individual	yuchien	n/a	0: person 1 - Then what were you doing there?								
617	Joint-Individual	yuchien	n/a	1: person 2 - I lied. I love them. I only said that so you’d go out with me.								
618	Joint-Individual	yuchien	tact	2: person 1 - " Oh, you don’t want to do that. I’m kind of broken."								
619	Joint-Individual	yuchien	agreement	3: person 2 - " That’s great. I’m broken, too."								
620	Joint-Individual	yuchien	n/a	4: person 1 - " Oh, no, you’re not."								
621	Joint-Individual	yuchien	n/a	0: person 1 - " Yeah. I was at a science-fiction convention, and I saw a woman dressed as your half-ape character."								
622	Joint-Individual	yuchien	n/a	1: person 2 - " Oh, if she was with an Indian guy dressed like a ban/an/a, that was just my friends, Howard and Raj."								
623	Joint-Individual	yuchien	n/a	2: person 1 - " All right, it’s time for a very special guest caller, a friend of mine, who you probably know as the director of such movies as Clerks, or from podcasts and books where he often reminds you that he’s the guy who directed Clerks. Hello, Kevin Smith."								
624	Joint-Individual	yuchien	n/a	3: person 3 - " Hey, man, yo, is everything okay, Wil? ‘Cause it’s been, like, two minutes and you haven’t even brought up Stand By Me."								
625	Joint-Individual	yuchien	approbation	4: person 4 - " Hey, Kevin. It’s really exciting to talk to you."								
626	additional	joel	tact	0: person 1 - "I’m sorry, you tried to build your own cat scanner?"								
627	additional	joel	n/a	1: person 2 - "No, I didn’t try, I succeeded. In fact, I was briefly able to see the inside of my sister’s guinea pig, Snowball, before he caught fire. It led to an interesting expression in our house, not a snowball’s chance in a cat scanner."								
628	additional	joel	n/a	2: person 3 - "Uh, Sheldon?"								
629	additional	joel	Tact	3: person 2 - "Excuse me. When I come back, just for fun, the subject will be alternative history. Specifically, how would the civil war have gone differently if Lincoln had been a robot sent from the future? Look at that, there’s even pasta left over."								
630	additional	joel	n/a	4: person 3 - "Do you understand that this was supposed to be a date?"								
631	additional	joel	n/a	0: person 1 - "Oh, bite me!"								
632	additional	joel	n/a	1: person 2 - "Sisters?"								
633	additional	joel	Approbation	3: person 3 - "Excuse me, Dr. Cooper, I’m Kathy O’Brien. I just finished reading your paper reconciling the black hole information paradox with your theory of string-network condensates, and it just took my breath away."								
634	additional	joel	n/a	4: person 4 - "Maybe when I publish it, I’ll include an inhaler."								
635	additional	joel	n/a	0: person 1 - "Are you sure? ‘Cause you didn’t know we were married until this morning."								
636	additional	joel	n/a	1: person 2 - "Okay, look, Zack, come on. You know neither of us thought this was real. I mean, we were married by an Elvis impersonator."								
637	additional	joel	n/a	2: person 1 - "Of course it was an impersonator. We could never afford a real Elvis."								
638	additional	joel	agreement	3: person 3 - "You married him instead of me? Good call. Sign the papers."								
639	additional	joel	Tact	4: person 2 - "Hang on. You know what? You have been a jerk about this all day. You always do this, whenever I mess up, you’re right there to make me feel even worse about it."								
640	additional	joel	n/a	0: person 1 - "What are you all staring at? Didn’t you ever see a man try to get a meeting with Stephen Hawking before?"								
641	additional	joel	n/a	2: person 2 - "Hey."								
642	additional	joel	n/a	3: person 1 - "Hello."								
643	additional	joel	n/a	4: person 2 - "It’s not Saturday night. Why are you doing your laundry?"								
644	additional	joel	Approbation	0: person 1 - "Oh, well done. I have a feeling you’re going to fit in just fine, Dr. Koothrappali."								
